Feature,count,mean,std,min,25%,50%,75%,max,missing (%),cardinality
index,603.0,302.0,174.21538393609217,1.0,151.5,302.0,452.5,603.0,0.0,603
imdb,588.0,7.277891156462586,0.7324930999367014,4.2,6.9,7.3,7.7,9.6,2.4875621890547266,49
engagement,588.0,580.3299319727892,4807.924224925862,7.0,27.0,54.5,128.25,100951.0,2.4875621890547266,233
run_time,603.0,23.52072968490879,17.2075705196174,4.0,12.0,22.0,23.0,94.0,0.0,34
monster_amount,603.0,1.7495854063018241,2.289361281448599,0.0,1.0,1.0,2.0,19.0,0.0,16
suspects_amount,603.0,2.8507462686567164,2.6168909440253905,0.0,1.0,3.0,4.0,20.0,0.0,17
culprit_amount,603.0,1.0398009950248757,1.0667465177298256,0.0,0.0,1.0,1.0,11.0,0.0,9
split_up,384.0,0.3359375,0.5495406638759899,0.0,0.0,0.0,1.0,2.0,36.318407960199,3
another_mystery,384.0,0.17708333333333334,0.4149879149309403,0.0,0.0,0.0,0.0,3.0,36.318407960199,4
set_a_trap,384.0,0.12239583333333333,0.33603196662454543,0.0,0.0,0.0,0.0,2.0,36.318407960199,3
jeepers,438.0,0.5639269406392694,1.304551130236254,0.0,0.0,0.0,1.0,10.0,27.363184079601986,10
jinkies,385.0,1.3064935064935066,1.9161007540228931,0.0,0.0,1.0,2.0,13.0,36.152570480928695,13
my_glasses,385.0,0.11688311688311688,0.3375010020828477,0.0,0.0,0.0,0.0,2.0,36.152570480928695,3
just_about_wrapped_up,385.0,0.05194805194805195,0.2222109484874803,0.0,0.0,0.0,0.0,1.0,36.152570480928695,2
zoinks,571.0,2.1523642732049035,2.731795986651688,0.0,0.0,1.0,3.0,26.0,5.306799336650083,17
groovy,571.0,0.0595446584938704,0.621226124340826,0.0,0.0,0.0,0.0,14.0,5.306799336650083,4
scooby_doo_where_are_you,571.0,0.1330998248686515,0.4227819588799352,0.0,0.0,0.0,0.0,4.0,5.306799336650083,5
rooby_rooby_roo,575.0,0.7182608695652174,0.7945351903863722,0.0,0.0,1.0,1.0,7.0,4.643449419568822,8
