Feature,count,unique,top,freq
series_name,603,29,Scooby-Doo and Scrappy-Doo (second series),86
network,603,11,ABC,281
season,603,7,1,311
title,603,602,Wrestle Maniacs,2
date_aired,603,448,01/10/2020,13
format,603,5,TV Series,374
monster_name,516,481,Alien,6
monster_subtype,515,269,Humanoid,53
monster_species,516,194,Human,175
monster_real,516,2,False,404
caught_fred,384,2,False,252
caught_daphnie,438,2,False,409
caught_velma,385,2,False,344
caught_shaggy,571,2,False,494
caught_scooby,575,2,False,415
captured_fred,384,2,False,313
captured_daphnie,438,2,False,347
captured_velma,385,2,False,311
captured_shaggy,571,2,False,486
captured_scooby,575,2,False,492
unmask_fred,384,2,False,282
unmask_daphnie,438,2,False,401
unmask_velma,385,2,False,291
unmask_shaggy,571,2,False,558
unmask_scooby,575,2,False,552
snack_fred,384,2,False,366
snack_daphnie,438,2,False,389
snack_velma,385,2,False,356
snack_shaggy,572,2,False,529
snack_scooby,576,2,False,564
unmask_other,603,2,False,568
caught_other,603,2,False,519
caught_not,603,2,False,572
trap_work_first,249,2,True,125
setting_terrain,603,15,Urban,267
setting_country_state,603,79,United States,309
non_suspect,443,2,False,397
arrested,448,2,True,381
culprit_name,440,433,Professor Pericles,4
culprit_gender,440,23,Male,263
motive,536,27,Competition,168
if_it_wasnt_for,189,107,you meddling kids,65
and_that,75,64,puppy,9
door_gag,603,2,False,544
number_of_snacks,602,18,0,463
batman,603,2,False,599
scooby_dum,603,2,False,586
scrappy_doo,603,2,False,438
hex_girls,603,2,False,597
blue_falcon,603,2,False,570
fred_va,384,5,Frank Welker,351
daphnie_va,438,9,Grey DeLisle,230
velma_va,385,12,Mindy Cohn,119
shaggy_va,571,7,Casey Kasem,356
scooby_va,575,5,Don Messick,308
monster_gender,516,2,Male,474
monster_gender2,167,2,Male,144
monster_gender3,102,2,Male,91
monster_gender4,70,2,Male,63
monster_gender5,45,2,Male,41
monster_gender6,37,2,Male,35
monster_gender7,32,2,Male,30
monster_gender8,25,2,Male,22
monster_gender9,19,2,Male,18
monster_gender10,15,2,Male,14
monster_gender11,12,1,Male,12
monster_gender12,8,1,Male,8
monster_gender13,5,1,Male,5
monster_gender14,3,1,Male,3
monster_gender15,3,1,Male,3
monster_gender16,2,2,Male,1
monster_gender17,1,1,Male,1
monster_gender18,1,1,Male,1
monster_gender19,1,1,Male,1
monster_type,603,13,Ghost,119
monster_type2,167,14,Ghost,34
monster_type3,102,13,Disguised,21
monster_type4,70,11,Disguised,21
monster_type5,46,11,Disguised,15
monster_type6,37,9,Disguised,14
monster_type7,32,7,Disguised,13
monster_type8,25,9,Disguised,11
monster_type9,20,7,Disguised,10
monster_type10,15,5,Disguised,6
monster_type11,12,4,Disguised,4
monster_type12,8,6,Disguised,2
monster_type13,5,3,Super-Villain,3
monster_type14,2,1,Disguised,2
monster_type15,2,2,Insect,1
monster_type16,1,1,Insect,1
monster_type17,1,1,Possessed Object,1
monster_type18,1,1,Animal,1
monster_type19,1,1,Plant,1
